Gene	KO01	KO02	KO03	WT01	WT02	WT03
TSPAN6!ENSG00000000003.14	6.68804983718388	6.59722372903689	6.79675871940351	6.44427360509029	6.44427360509029	6.44427360509029
TNMD!ENSG00000000005.5	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029
DPM1!ENSG00000000419.12	11.4652369504341	11.2537975201777	10.922750944197	11.5241700450482	11.4377325596976	11.3770505271002
SCYL3!ENSG00000000457.13	9.63966280796245	9.64473824648045	9.54397808042791	9.66218768581341	9.53249367729808	9.53690861804124
C1orf112!ENSG00000000460.16	10.7730523020503	10.7161794050518	10.4582858812838	10.7031898668887	10.7624034442988	10.6955925365127
FGR!ENSG00000000938.12	10.0736257540938	10.2042352163536	10.1834249712241	10.4734191198082	10.4244581977637	10.5862229524543
CFH!ENSG00000000971.15	6.58512942371058	6.59722372903689	6.69382737929912	6.44427360509029	6.59501649773083	6.65317714445703
FUCA2!ENSG00000001036.13	9.4718963006242	9.37359831217401	9.49978824960303	9.45589124010763	9.45322561249464	9.47806380509703
GCLC!ENSG00000001084.10	11.7338648201201	11.6504400346427	11.4208296420967	11.643204248487	11.5916874242106	11.4684396861695
NFYA!ENSG00000001167.14	11.45159497717	11.4085932589354	11.389534562138	11.472586509665	11.4337640280345	11.4468402501727
STPG1!ENSG00000001460.17	9.50408099075683	9.55624967274044	9.79203014669008	9.3074479350446	9.32846622521242	9.45725126808761
NIPAL3!ENSG00000001461.16	11.9646983495471	11.8965600613017	11.8998137659511	11.6393909197559	11.7635325287152	11.6258898289801
LAS1L!ENSG00000001497.16	12.2419372904282	12.2739144957237	12.1909706099318	12.1328686419436	12.0999322022006	12.2798790644322
ENPP4!ENSG00000001561.6	10.7585607758636	10.4884092455807	10.1785281027224	10.6232166137504	10.6095491577732	10.240223444746
SEMA3F!ENSG00000001617.11	7.46770834348528	7.53231908946485	7.63432931859297	7.40512804727753	7.66894948353196	7.51592231965099
CFTR!ENSG00000001626.14	6.58512942371058	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029
ANKIB1!ENSG00000001629.9	11.5271090134725	11.4163787335122	11.397946655725	11.4980828267322	11.4729655713846	11.2937415196335
CYP51A1!ENSG00000001630.15	9.2634458375118	9.3972450757796	9.34348588850263	9.73439999898004	9.79574726653523	9.61228666613463
KRIT1!ENSG00000001631.14	11.2441632410701	11.2280697096271	11.216419629284	11.2092919377408	11.21647952775	11.132437307103
RAD52!ENSG00000002016.16	9.6577930204957	9.66601788863701	9.5967126667515	9.719885345449	9.59678957033565	9.53690861804124
BAD!ENSG00000002330.13	9.94971759946335	10.0731088116287	10.1521236885168	9.96998310549986	10.0725566715927	10.2303206972286
LAP3!ENSG00000002549.12	11.8042975263539	11.6744382385237	11.5300881352049	11.7331631589997	11.7140963930106	11.7456859389678
CD99!ENSG00000002586.18	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029
HS3ST1!ENSG00000002587.9	6.58512942371058	6.44427360509029	6.44427360509029	6.602961635286	6.44427360509029	6.70001574671148
AOC1!ENSG00000002726.19	6.84157563117028	6.78564373930139	6.90970718839679	6.71885330354552	6.74534990859434	6.83424950318733
WNT16!ENSG00000002745.12	6.75873900612627	6.70894376280074	6.62084462578893	6.86286452591222	6.81268295449916	6.9941293418582
HECW1!ENSG00000002746.14	6.44427360509029	6.59722372903689	6.44427360509029	6.66857952710654	6.44427360509029	6.44427360509029
MAD1L1!ENSG00000002822.15	10.9589167922491	10.8971859392651	11.1272863768662	10.7114023713053	10.6758598390866	10.9264832632785
LASP1!ENSG00000002834.17	13.3411586862993	13.3350438857671	13.5558695604058	13.1999379554502	13.1439319939963	13.3267442897368
SNX11!ENSG00000002919.14	10.8769941795083	10.8986704511518	10.7503906112776	11.0123765168017	10.9938721783413	10.8886296431502
TMEM176A!ENSG00000002933.7	6.58512942371058	6.59722372903689	6.44427360509029	6.44427360509029	6.657359496447	6.44427360509029
M6PR!ENSG00000003056.7	12.4335576553917	12.3405780884332	12.2451658485322	12.4053486906373	12.402730289003	12.4143333898967
KLHL13!ENSG00000003096.13	6.68804983718388	6.78564373930139	6.90970718839679	6.602961635286	6.657359496447	6.65317714445703
CYP26B1!ENSG00000003137.8	6.44427360509029	6.44427360509029	6.44427360509029	6.44427360509029	6.59501649773083	6.59205518083008
